node ID: 172.22.157.36:1669858042.1903043, change type:join, log time: 2022-11-30 19:27:22, alive machine: 1 
node ID: 172.22.157.36:1669858045.9429092, change type:join, log time: 2022-11-30 19:27:25, alive machine: 1 
node ID: 172.22.157.36:1669858058.0363367, change type:join, log time: 2022-11-30 19:27:38, alive machine: 1 
node ID: 172.22.157.36:1669858101.9500601, change type:join, log time: 2022-11-30 19:28:21, alive machine: 1 
node ID: 172.22.157.36:1669858101.9500601, change type:debug, log time: 2022-11-30 19:28:34, alive machine: 1 
node ID: 172.22.157.36:1669858514.7008219, change type:debug, log time: 2022-11-30 19:37:22, alive machine: 1 
node ID: 172.22.157.36:1669858707.1135678, change type:join, log time: 2022-11-30 19:38:27, alive machine: 1 
node ID: 172.22.157.36:1669858714.2975504, change type:join, log time: 2022-11-30 19:38:34, alive machine: 1 
node ID: 172.22.157.36:1669858716.8783095, change type:join, log time: 2022-11-30 19:38:36, alive machine: 1 
node ID: 172.22.157.36:1669858752.8716536, change type:join, log time: 2022-11-30 19:39:12, alive machine: 1 
node ID: 172.22.159.36:1669861587.986861, change type:join, log time: 2022-11-30 20:26:27, alive machine: 2 
node ID: 172.22.95.36:1669861593.943881, change type:join, log time: 2022-11-30 20:26:33, alive machine: 3 
node ID: 172.22.157.37:1669861599.5993369, change type:join, log time: 2022-11-30 20:26:39, alive machine: 4 
node ID: 172.22.157.37:1669861614.3699224, change type:join, log time: 2022-11-30 20:26:54, alive machine: 4 
node ID: 172.22.157.37:1669861599.5993369, change type:failed, log time: 2022-11-30 20:26:54, alive machine: 4 
node ID: 172.22.157.37:1669861625.3747597, change type:join, log time: 2022-11-30 20:27:05, alive machine: 5 
node ID: 172.22.157.37:1669861625.3747597, change type:failed, log time: 2022-11-30 20:27:07, alive machine: 4 
node ID: 172.22.157.37:1669861614.3699224, change type:failed, log time: 2022-11-30 20:27:09, alive machine: 2 
node ID: 172.22.157.37:1669861646.2020476, change type:join, log time: 2022-11-30 20:27:26, alive machine: 3 
node ID: 172.22.157.37:1669861658.6383014, change type:join, log time: 2022-11-30 20:27:38, alive machine: 4 
node ID: 172.22.159.37:1669861829.9149747, change type:join, log time: 2022-11-30 20:30:29, alive machine: 5 
node ID: 172.22.159.36:1669862084.0263329, change type:join, log time: 2022-11-30 20:34:44, alive machine: 2 
node ID: 172.22.95.36:1669862088.3734238, change type:join, log time: 2022-11-30 20:34:48, alive machine: 3 
node ID: 172.22.157.37:1669862092.0066686, change type:join, log time: 2022-11-30 20:34:52, alive machine: 4 
node ID: 172.22.159.37:1669862095.7728062, change type:join, log time: 2022-11-30 20:34:55, alive machine: 5 
node ID: 172.22.159.36:1669862268.013515, change type:join, log time: 2022-11-30 20:37:48, alive machine: 2 
node ID: 172.22.95.36:1669862269.5605898, change type:join, log time: 2022-11-30 20:37:49, alive machine: 3 
node ID: 172.22.157.37:1669862272.2587981, change type:join, log time: 2022-11-30 20:37:52, alive machine: 4 
node ID: 172.22.159.37:1669862275.6274028, change type:join, log time: 2022-11-30 20:37:55, alive machine: 5 
node ID: 172.22.159.36:1669862592.6751716, change type:join, log time: 2022-11-30 20:43:12, alive machine: 2 
node ID: 172.22.95.36:1669862595.7665162, change type:join, log time: 2022-11-30 20:43:15, alive machine: 3 
node ID: 172.22.157.37:1669862598.8841882, change type:join, log time: 2022-11-30 20:43:18, alive machine: 4 
node ID: 172.22.159.37:1669862602.9997373, change type:join, log time: 2022-11-30 20:43:22, alive machine: 5 
